label,"PIB per cápita"
2021,12556.3331200058
2020,10408.6697561349
2019,10143.8381955595
2018,9905.34200389253
2017,8816.98690451989
2016,8094.36336675194
2015,8016.43143498003
2014,7636.11660125502
2013,7020.33848453658
2012,6300.61511825789
2011,5614.35213522114
2010,4550.45310775599
2009,3832.23643246922
2008,3468.30460207977
2007,2693.97006340427
2006,2099.22943460734
2005,1753.41782926104
2004,1508.66809788453
2003,1288.64325183475
2002,1148.50829043887
2001,1053.10824300262
2000,959.372483635864
1999,873.287061730612
1998,828.580479299572
1997,781.744164343014
1996,709.413755088002
1995,609.656679205465
1994,473.492278719989
1993,377.3898394789
1992,366.460692306116
1991,333.142145400184
1990,317.884673040928
1989,310.8819124049
1988,283.537695240524
1987,251.811956961329
1986,281.928120911563
1985,294.45884850496
1984,250.713969046988
1983,225.431928890812
1982,203.334919503464
1981,197.071474499102
1980,194.804722186836
1979,183.983152215978
1978,156.396388520044
1977,185.422832913673
1976,165.40554037242
1975,178.341819608096
1974,160.140093727686
1973,157.090374298657
1972,131.883561243868
1971,118.654577785346
1970,113.162991554686
1969,100.12990326618
1968,91.4727183066072
1967,96.5895319417819
1966,104.324566181147
1965,98.4867777522206
1964,85.4985551596313
1963,74.3136434486145
1962,70.9094116671007
1961,75.8058379259965
1960,89.5205415103584
